Year,Health Zone of Residence,Quarter,Month,Year/Month,Drug Type,Manner of Death,Sex,Frequency,"Rate per 100,000 population (annualized for quarterly data)",Percent,Living Situation,Place of event,Others present/aware,Opioids Stimulants Other
2009,Central,All,,,Opioid - total,All manners,Total,17,4.1,,,,,
2009,Eastern,All,,,Opioid - total,All manners,Total,20,11.8,,,,,
2009,Northern,All,,,Opioid - total,All manners,Total,8,5.2,,,,,
2009,Western,All,,,Opioid - total,All manners,Total,11,5.4,,,,,
2009,Nova Scotia,All,,,Opioid - total,All manners,Total,58,6.2,,,,,
2009,Nova Scotia,All,,,Opioid - total,Accident,Total,47,5,,,,,
2009,Nova Scotia,All,,,Opioid - total,Suicide,Total,10,1.1,,,,,
2009,Nova Scotia,Q1,,,Opioid - total,All manners,Total,9,3.8,,,,,
2009,Nova Scotia,Q2,,,Opioid - total,All manners,Total,15,6.4,,,,,
2009,Nova Scotia,Q3,,,Opioid - total,All manners,Total,21,9,,,,,
2009,Nova Scotia,Q4,,,Opioid - total,All manners,Total,13,5.5,,,,,
2009,Nova Scotia,All,,,Opioid - total,All manners,Male,39,8.5,,,,,
2009,Nova Scotia,All,,,Opioid - total,All manners,Female,18,3.7,,,,,
2009,Central,All,,,Opioid - pharmaceutical,All manners,Total,17,4.1,,,,,
2009,Eastern,All,,,Opioid - pharmaceutical,All manners,Total,20,11.8,,,,,
2009,Northern,All,,,Opioid - pharmaceutical,All manners,Total,8,5.2,,,,,
2009,Western,All,,,Opioid - pharmaceutical,All manners,Total,11,5.4,,,,,
2009,Nova Scotia,All,,,Opioid - pharmaceutical,All manners,Total,58,6.2,,,,,
2009,Nova Scotia,All,,,Opioid - pharmaceutical,Accident,Total,47,5,,,,,
2009,Nova Scotia,All,,,Opioid - pharmaceutical,Suicide,Total,10,1.1,,,,,
2009,Nova Scotia,Q1,,,Opioid - pharmaceutical,All manners,Total,9,3.8,,,,,
2009,Nova Scotia,Q2,,,Opioid - pharmaceutical,All manners,Total,15,6.4,,,,,
2009,Nova Scotia,Q3,,,Opioid - pharmaceutical,All manners,Total,21,9,,,,,
2009,Nova Scotia,Q4,,,Opioid - pharmaceutical,All manners,Total,13,5.5,,,,,
2009,Nova Scotia,All,,,Opioid - pharmaceutical,All manners,Male,39,8.5,,,,,
2009,Nova Scotia,All,,,Opioid - pharmaceutical,All manners,Female,18,3.7,,,,,
2009,Central,All,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Eastern,All,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Northern,All,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Western,All,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Nova Scotia,All,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Nova Scotia,All,,,Opioid - nonpharmaceutical,Accident,Total,0,0,,,,,
2009,Nova Scotia,All,,,Opioid - nonpharmaceutical,Suicide,Total,0,0,,,,,
2009,Nova Scotia,Q1,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Nova Scotia,Q2,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Nova Scotia,Q3,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Nova Scotia,Q4,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Nova Scotia,All,,,Opioid - nonpharmaceutical,All manners,Male,0,0,,,,,
2009,Nova Scotia,All,,,Opioid - nonpharmaceutical,All manners,Female,0,0,,,,,
2009,Central,All,,,Benzodiazepine - pharmaceutical,All manners,Total,9,2.2,,,,,
2009,Eastern,All,,,Benzodiazepine - pharmaceutical,All manners,Total,11,6.5,,,,,
2009,Northern,All,,,Benzodiazepine - pharmaceutical,All manners,Total,8,5.2,,,,,
2009,Western,All,,,Benzodiazepine - pharmaceutical,All manners,Total,7,3.5,,,,,
2009,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,All manners,Total,35,3.7,,,,,
2009,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,Accident,Total,25,2.7,,,,,
2009,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,Suicide,Total,9,1,,,,,
2009,Nova Scotia,Q1,,,Benzodiazepine - pharmaceutical,All manners,Total,7,3,,,,,
2009,Nova Scotia,Q2,,,Benzodiazepine - pharmaceutical,All manners,Total,8,3.4,,,,,
2009,Nova Scotia,Q3,,,Benzodiazepine - pharmaceutical,All manners,Total,13,5.5,,,,,
2009,Nova Scotia,Q4,,,Benzodiazepine - pharmaceutical,All manners,Total,7,3,,,,,
2009,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,All manners,Male,17,3.7,,,,,
2009,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,All manners,Female,17,3.5,,,,,
2009,Central,All,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Eastern,All,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Northern,All,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Western,All,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
